Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,6_L,44,1540.4152,656.2232,1540.3951,656.22516,0.020019531,-0.001953125,0.020114580003951152
Camera L,6_L,45,1014.429,448.21857,1014.48773,448.20108,-0.05871582,0.017486572,0.06126440862826241
Camera L,6_L,46,1065.7963,477.27014,1065.7998,477.23032,-0.003540039,0.03982544,0.03998246495901111
Camera L,6_L,47,1119.4236,507.5498,1119.429,507.57294,-0.0053710938,-0.023132324,0.023747696137365763
Camera L,6_L,48,1175.5233,539.1774,1175.5773,539.2324,-0.053955078,-0.054992676,0.07704118927597453
Camera L,6_L,49,1234.318,572.2829,1234.355,572.309,-0.036987305,-0.026123047,0.04528216300133427
Camera L,6_L,50,1296.0303,607.0013,1296.097,607.1124,-0.06677246,-0.11114502,0.12966023641136826
Camera L,6_L,51,1360.8655,643.4651,1360.8666,643.46857,-0.0010986328,-0.003479004,0.00364835061862267
Camera L,6_L,52,1428.99,681.79285,1429.0336,681.74493,-0.0435791,0.047912598,0.06476692911636604
Camera L,6_L,53,1500.5021,722.0746,1500.5161,722.0397,-0.014038086,0.03491211,0.03762875546441309
Camera L,7_L,0,611.22076,361.12943,611.27325,361.11932,-0.052490234,0.010101318,0.053453356651756476
Camera L,7_L,1,687.2829,338.56708,687.2717,338.5528,0.011169434,0.014282227,0.018131140129285076
Camera L,7_L,2,760.38666,316.75983,760.34546,316.7183,0.04119873,0.041534424,0.058501656001954574
Camera L,7_L,3,830.78876,295.62115,830.77496,295.58948,0.013793945,0.031677246,0.034550265518057025
Camera L,7_L,4,898.73883,275.08035,898.67194,275.04623,0.06689453,0.034118652,0.07509301398206696
Camera L,7_L,5,964.46387,255.08377,964.3976,255.15599,0.06628418,-0.07221985,0.09802703205438354
Camera L,7_L,6,1028.1589,235.59424,1028.102,235.57716,0.056884766,0.017074585,0.05939207027709553
Camera L,7_L,7,1089.9828,216.58966,1089.8977,216.54192,0.08508301,0.04774475,0.09756372002048662
Camera L,7_L,8,1150.0586,198.06065,1149.9387,198.07858,0.11987305,-0.017929077,0.12120643206732294
Camera L,7_L,9,637.8909,437.52847,637.87506,437.5542,0.01586914,-0.025726318,0.03022702566419562
Camera L,7_L,10,712.7164,413.74905,712.7504,413.7366,-0.034057617,0.012451172,0.03626228025857015
Camera L,7_L,11,784.64435,390.79663,784.6842,390.81567,-0.039855957,-0.019042969,0.044171619504952755
Camera L,7_L,12,853.9369,368.58182,853.9635,368.5698,-0.026611328,0.012023926,0.029201670770170402
Camera L,7_L,13,920.8458,347.0279,920.91785,347.0169,-0.072021484,0.010986328,0.0728546060125819
Camera L,7_L,14,985.598,326.07318,985.5491,326.0849,0.048950195,-0.01171875,0.050333395700016076
Camera L,7_L,15,1048.387,305.67148,1048.3906,305.6654,-0.0036621094,0.006072998,0.007091709973751779
Camera L,7_L,16,1109.3693,285.79117,1109.3737,285.75742,-0.0043945312,0.03375244,0.03403732077866244
Camera L,7_L,17,1168.6648,266.41373,1168.6885,266.41473,-0.02368164,-0.0010070801,0.023703044382007276
Camera L,7_L,18,663.8882,512.3884,663.83844,512.4055,0.049743652,-0.017089844,0.052597468645318654
Camera L,7_L,19,737.5359,487.41156,737.54156,487.4963,-0.0056762695,-0.084747314,0.08493719646190499
Camera L,7_L,20,808.3531,463.33823,808.4777,463.41498,-0.12463379,-0.07675171,0.14637078331449188
Camera L,7_L,21,876.6021,440.0762,876.6556,440.13052,-0.053466797,-0.05432129,0.07622008143189163
Camera L,7_L,22,942.53314,417.54285,942.5568,417.57526,-0.02368164,-0.032409668,0.04013983906963592
Camera L,7_L,23,1006.37006,395.6684,1006.4583,395.6704,-0.088256836,-0.0020141602,0.08827981610104213
Camera L,7_L,24,1068.303,374.39728,1068.3224,374.44476,-0.01940918,-0.04748535,0.05129887785474341
Camera L,7_L,25,1128.4851,353.68823,1128.5076,353.6264,-0.022460938,0.061828613,0.06578199703308854
Camera L,7_L,26,1187.0331,333.5131,1187.1377,333.54456,-0.10461426,-0.031463623,0.10924331793247613
Camera L,7_L,27,689.2487,585.87006,689.31915,585.8302,-0.07043457,0.039855957,0.08092914188339917
