Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,13_L,48,1286.5879,235.50685,1286.5895,235.52383,-0.0015869141,-0.016983032,0.017057012629713934
Camera L,13_L,49,1253.1768,251.465,1253.2062,251.46541,-0.029418945,-0.0004119873,0.029421829936954795
Camera L,13_L,50,1219.4868,267.5598,1219.4695,267.58777,0.017333984,-0.027954102,0.03289223021443376
Camera L,13_L,51,1185.5197,283.7877,1185.4845,283.7565,0.03515625,0.031188965,0.04699695141269456
Camera L,13_L,52,1151.2733,300.14664,1151.2174,300.1878,0.055908203,-0.041168213,0.06943017304655147
Camera L,13_L,53,1116.7428,316.63644,1116.7314,316.57434,0.011352539,0.06210327,0.06313237261680867
Camera L,23_L,0,1012.55835,728.5876,1012.55774,728.6222,0.00061035156,-0.034606934,0.03461231546418223
Camera L,23_L,1,974.16125,698.6747,974.20825,698.6576,-0.04699707,0.017089844,0.05000787315370934
Camera L,23_L,2,936.5192,669.38275,936.544,669.41974,-0.024780273,-0.036987305,0.04452103614790684
Camera L,23_L,3,899.5857,640.6757,899.494,640.6095,0.091674805,0.066223145,0.11309188603121843
Camera L,23_L,4,863.316,612.51807,863.3974,612.625,-0.0814209,-0.106933594,0.1344029619266619
Camera L,23_L,5,827.66815,584.87573,827.6878,584.90247,-0.01965332,-0.026733398,0.033180228922113426
Camera L,23_L,6,792.60394,557.7169,792.6394,557.677,-0.035461426,0.039916992,0.053393623062459795
Camera L,23_L,7,758.0891,531.0124,758.0534,530.9842,0.035705566,0.028198242,0.04549756405409012
Camera L,23_L,8,724.0938,504.73618,724.1608,504.74963,-0.0670166,-0.013458252,0.06835458602479186
Camera L,23_L,9,1040.4401,696.8615,1040.4231,696.81555,0.016967773,0.045959473,0.04899161624468948
Camera L,23_L,10,1002.48737,667.81055,1002.48413,667.7402,0.0032348633,0.070373535,0.07044784447260494
Camera L,23_L,11,965.27527,639.3473,965.3033,639.3387,-0.028015137,0.008605957,0.029307172872762324
