Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera R,14_R,19,1260.7933,495.7675,1260.7437,495.70834,0.049682617,0.059143066,0.07724159989625906
Camera R,14_R,20,1201.8247,460.64066,1201.796,460.60965,0.028686523,0.03100586,0.04224073794943114
Camera R,14_R,21,1144.3744,426.3922,1144.3699,426.37735,0.0045166016,0.014862061,0.015533207439976968
Camera R,14_R,22,1088.3734,392.9764,1088.3965,392.95972,-0.023071289,0.016693115,0.02847708684598119
Camera R,14_R,23,1033.7499,360.3497,1033.7213,360.3967,0.028564453,-0.04699707,0.05499684173012475
Camera R,14_R,24,980.43396,328.4732,980.4495,328.4219,-0.015563965,0.05130005,0.053609066503955236
Camera R,14_R,25,928.3623,297.31433,928.343,297.28064,0.01928711,0.033691406,0.038821430204794775
Camera R,14_R,26,877.47986,266.84723,877.4928,266.78253,-0.012939453,0.064697266,0.06597852397959414
Camera R,14_R,27,1355.5077,482.17725,1355.4916,482.22134,0.016113281,-0.0440979,0.04694957562644295
Camera R,14_R,28,1295.5812,447.37735,1295.563,447.39313,0.018188477,-0.015777588,0.024078059708186796
Camera R,14_R,29,1237.1791,413.4498,1237.2114,413.4238,-0.032348633,0.026000977,0.041502829145030895
Camera R,14_R,30,1180.25,380.35266,1180.2654,380.36313,-0.015380859,-0.010467529,0.018604838206618776
Camera R,14_R,31,1124.7327,348.0436,1124.6979,348.0545,0.03479004,-0.010894775,0.03645604132078035
Camera R,14_R,32,1070.5615,316.4828,1070.532,316.5003,0.029541016,-0.01751709,0.03434414128713227
Camera R,14_R,33,1017.6719,285.63474,1017.6485,285.59412,0.023376465,0.040618896,0.04686527349967619
Camera R,14_R,34,966.0037,255.46996,965.9697,255.45537,0.033996582,0.014587402,0.036994052183370686
Camera R,14_R,35,915.5037,225.9652,915.4747,225.96117,0.029052734,0.0040283203,0.02933067914666155
Camera R,14_R,36,1388.5089,434.2327,1388.5282,434.2553,-0.01928711,-0.022613525,0.02972144206857491
Camera R,14_R,37,1329.206,400.6121,1329.254,400.60248,-0.047973633,0.009613037,0.04892729225794942
Camera R,14_R,38,1271.372,367.81802,1271.3905,367.84845,-0.018554688,-0.030426025,0.03563733224153589
Camera R,14_R,39,1214.9639,335.8114,1214.9902,335.761,-0.026367188,0.05041504,0.0568938023016001
Camera R,14_R,40,1159.9283,304.5531,1159.9069,304.59045,0.021484375,-0.037353516,0.04309133902175406
Camera R,14_R,41,1106.2067,274.00653,1106.2479,274.04453,-0.041259766,-0.037994385,0.0560886934519631
Camera R,14_R,42,1053.7393,244.13939,1053.6812,244.17497,0.05810547,-0.035583496,0.06813538502798049
Camera R,14_R,43,1002.47034,214.9248,1002.48535,214.89546,-0.015014648,0.029342651,0.03296105060458528
Camera R,14_R,44,952.3488,186.34172,952.34784,186.42346,0.0009765625,-0.08174133,0.08174716628856626
Camera R,14_R,45,1420.3843,387.90564,1420.4398,387.83612,-0.055541992,0.06951904,0.08898207814749676
Camera R,14_R,46,1361.7104,355.39786,1361.716,355.43338,-0.005493164,-0.03552246,0.03594468086481997
Camera R,14_R,47,1304.4485,323.67566,1304.4292,323.67383,0.01928711,0.0018310547,0.01937383155991165
