Algorithm,Actual distance,Computed distance,Disparity,Computation time,blocksize
BM_PCL_FilteredLeftDispMap,45,51.7379150390625,-,0.5304219722747803,11
ObjectDetection,45,-,222.5,1.6013312339782715,17
SGBM_LeftDispMap,45,50.09215651028639,254.84375,0.44567108154296875,17
SGBM_PCL_LeftDispMap,45,50.10507774353027,-,0.7766993045806885,17
SGBM_FilteredLeftDispMap,45,50.91378196484506,250.07701873779297,0.9513139724731445,17
SGBM_PCL_FilteredLeftDispMap,45,50.92691421508789,-,1.2500998973846436,17
BM_LeftDispMap,45,48.8982834682636,260.59375,0.07095599174499512,17
BM_PCL_LeftDispMap,45,48.91089630126953,-,0.40308189392089844,17
BM_FilteredLeftDispMap,45,51.0634580896678,249.3488998413086,0.2064189910888672,17
BM_PCL_FilteredLeftDispMap,45,51.076629638671875,-,0.4976232051849365,17
ObjectDetection,45,-,222.5,1.55289888381958,21
SGBM_LeftDispMap,45,50.99299873562287,249.6875,0.4851503372192383,21
SGBM_PCL_LeftDispMap,45,51.00615119934082,-,0.8301057815551758,21
SGBM_FilteredLeftDispMap,45,50.819045291548676,250.54356384277344,1.0175039768218994,21
SGBM_PCL_FilteredLeftDispMap,45,50.8321533203125,-,1.3221440315246582,21
BM_LeftDispMap,45,49.85975757481444,255.46875,0.0702199935913086,21
BM_PCL_LeftDispMap,45,49.87261772155762,-,0.42617201805114746,21
BM_FilteredLeftDispMap,45,50.83535427407331,250.47335815429688,0.2168121337890625,21
BM_PCL_FilteredLeftDispMap,45,50.848466873168945,-,0.5385711193084717,21
ObjectDetection,45,-,222.5,1.6620948314666748,35
SGBM_LeftDispMap,45,57.61956534083754,221.0,0.48309993743896484,35
SGBM_PCL_LeftDispMap,45,57.63442802429199,-,0.830193281173706,35
SGBM_FilteredLeftDispMap,45,52.616859599429965,242.0228042602539,1.0169508457183838,35
SGBM_PCL_FilteredLeftDispMap,45,52.63043212890625,-,1.3145620822906494,35
BM_LeftDispMap,45,50.10859858587513,254.1875,0.09511399269104004,35
BM_PCL_LeftDispMap,45,50.121524810791016,-,0.43963122367858887,35
BM_FilteredLeftDispMap,45,50.57359652232897,251.77466583251953,0.277921199798584,35
BM_PCL_FilteredLeftDispMap,45,50.58664131164551,-,0.5985500812530518,35
